Vendor,Population,Rejected,High Pop,% Over Set,% Over Limit,Set Pressure,Service
a,9,2,1,0.10,4.3%,35,steam
b,13,0,0,0.00,0.0%,,air
c,85,1,1,0.13,9.7%,175,steam
d,108,21,4,0.05,1.5%,350,air
e,1,0,0,0.00,0.0%,,na
f,55,9,2,0.06,2.5%,400,liquid
g,41,5,2,0.07,3.3%,165,steam
h,2,0,0,0.00,0.0%,,air
z,40,6,1,0.24,20.0%,165,steam
k,1,0,0,0.00,0.0%,,steam
y,66,4,4,0.06,3.0%,100,air
m,54,6,1,0.27,24.0%,75,air/liquid
m,14,7,3,0.10,3.0%,80,steam
n,1,0,0,0.00,0.0%,,na
o,3,0,0,0.00,0.0%,,air
p,3,0,0,0.00,0.0%,,liquid
r,38,7,1,0.07,4.0%,250,liquid
s,8,0,0,0.00,0.0%,,air
x,18,2,1,0.06,1.2%,175,air
